y1,y2,y3,y4,y5,y6,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
0.77,0.52,-0.04,97,8.9,238799.57,444,7810.08,3437781.27,7,14511,0.96,CS,A,街铺,222,T1,82,8
0.76,0.42,-0.05,97,5.1,142047.31,435,4940.82,3437781.27,6,14216,0.94,CS,A,街铺,222,T1,82,8
0.76,0.34,-0.2,99,4.6,122630.76,436,35562.29,3437781.27,4,14166,0.94,CS,A,街铺,222,T1,82,8
0.76,0.4,-0.05,99,5.1,138902.39,479,1728.3,3437781.27,13,14938,0.95,CS,A,街铺,222,T1,82,8
0.76,0.31,0.07,99,4.1,113531.97,445,21066.69,3437781.27,10,12241,0.93,CS,A,街铺,222,T1,82,8
0.76,0.37,-0.08,99,4.4,119018.98,505,287.34,3437781.27,9,13582,0.96,CS,A,街铺,222,T1,82,8
0.77,0.46,-0.04,99,5.8,157654.18,509,39500.54,3437781.27,5,31571,0.95,CS,A,街铺,222,T1,82,8
0.75,0.31,-0.16,99,4.1,118755.59,544,36818.78,3437781.27,7,13668,0.93,CS,A,街铺,222,T1,82,8
0.75,0.16,-0.17,100,4.3,117073.4,500,168822.55,3437781.27,11,21332,0.91,CS,A,街铺,222,T1,82,8
0.76,0.49,-0.01,100,6.5,183481.12,556,0,3437781.27,6,16719,0.9,CS,A,街铺,222,T1,82,8
0.73,0.43,-0.43,100,5.8,162481.04,553,0,3437781.27,6,14238,0.91,CS,A,街铺,222,T1,82,8
0.73,0.25,-0.48,98,3.6,99851.84,524,621.43,3437781.27,12,13915,0.95,CS,A,街铺,222,T1,82,8
0.73,0.53,-0.58,98,273.8,99583.82,481,1780.74,3437781.27,7,24597,0.96,CS,A,街铺,222,T1,82,8
0.74,0.24,-0.5,98,87.8,71409.45,451,13387.97,3437781.27,12,14979,0.97,CS,A,街铺,222,T1,82,8
0.73,0.24,-0.57,99,  ,53292.8,441,29074.46,3437781.27,7,7915,0.97,CS,A,街铺,222,T1,82,8
0.73,0.11,-0.47,99,6.3,73017.05,467,58473.54,3437781.27,6,13793,0.94,CS,A,街铺,222,T1,82,8
0.73,0.1,-0.52,99,5.2,54252.08,526,7870.74,3437781.27,4,11542,0.96,CS,A,街铺,222,T1,82,8
0.73,0.09,-0.53,99,5,56116.65,529,264.46,3437781.27,11,9316,0.93,CS,A,街铺,222,T1,82,8
0.74,0.31,-0.56,99,6.8,70102.35,577,50591.06,3437781.27,10,8139,0.96,CS,A,街铺,222,T1,82,8
0.72,0.06,-0.5,99,5.1,59157.77,546,25013.62,3437781.27,17,5878,0.93,CS,A,街铺,222,T1,82,8
0.74,0.09,-0.36,99,6.7,75337.89,520,16689.76,3437781.27,5,11232,0.87,CS,A,街铺,222,T1,82,8
0.71,0.38,-0.26,99,7.3,136560.09,541,0,3437781.27,14,7990,0.9,CS,A,街铺,222,T1,82,8
0.68,0.19,-0.42,100,5.1,93717.49,501,0,3437781.27,11,14673,0.83,CS,A,街铺,222,T1,82,8
0.71,0.1,-0.48,100,3.1,51533.67,446,386.3,3437781.27,15,19074,0.89,CS,A,街铺,222,T1,82,8
0.73,0.18,-0.32,97,3.6,67398.17,436,5780.86,3437781.27,12,8298,0.93,CS,A,街铺,222,T1,82,8
0.7,-0.09,-0.27,87,2.7,52148.35,414,25743.48,3437781.27,9,8047,0.92,CS,A,街铺,222,T1,82,8
0.69,0.47,0.41,77,8.2,71364.1,270,9403.59,1012881.59,0,0,0.65,FO,A+,购物中心,180,T1,84,10
0.69,0.42,0.35,77,8.1,68259.4,263,10699.94,1012881.59,0,0,0.65,FO,A+,购物中心,180,T1,84,10
0.68,0.48,0.88,77,8.2,95069.74,264,1000,1012881.59,0,0,0.65,FO,A+,购物中心,180,T1,84,10
0.69,0.48,1.4,77,8.3,121448.72,299,15566.48,1012881.59,2,12255,0.66,FO,A+,购物中心,180,T1,84,10
0.68,0.43,0.43,77,8.1,72602.14,324,12709.78,1012881.59,6,5255,0.66,FO,A+,购物中心,180,T1,84,10
0.66,0.39,0.07,80,8.1,53970.6,336,21646.98,1012881.59,6,18393,0.66,FO,A+,购物中心,180,T1,84,10
0.67,0.43,-0.09,80,8.2,79684.36,311,8518.99,1012881.59,4,10920,0.65,FO,A+,购物中心,180,T1,84,10
0.67,0.46,0.96,80,8.6,104111.2,271,5829.29,1012881.59,3,16595,0.61,FO,A+,购物中心,180,T1,84,10
0.68,0.47,0.34,83,7.9,102349.49,255,8494.24,1012881.59,3,14695,0.65,FO,A+,购物中心,180,T1,84,10
0.68,0.51,0.44,83,10,163162.71,243,12113,1012881.59,7,14511,0.63,FO,A+,购物中心,180,T1,84,10
0.67,0.56,0.72,83,51.4,107836.71,250,13618.73,1012881.59,6,14216,0.63,FO,A+,购物中心,180,T1,84,10
0.67,0.26,0.33,80,3.5,87122.61,245,16549.38,1012881.59,4,14166,0.62,FO,A+,购物中心,180,T1,84,10
0.68,0.45,0.4,80,8.2,99685.05,242,14345.8,1012881.59,13,14938,0.64,FO,A+,购物中心,180,T1,84,10
0.66,0.41,0.33,80,8.2,90613.36,233,10750.28,1012881.59,10,12241,0.61,FO,A+,购物中心,180,T1,84,10
0.67,0.53,0.27,80,22.6,120623.38,274,10128.46,1012881.59,9,13582,0.65,FO,A+,购物中心,180,T1,84,10
0.68,0.52,0.6,80,8.9,193844.59,298,15645.29,1012881.59,5,31571,0.64,FO,A+,购物中心,180,T1,84,10
0.62,0.21,-0.07,80,3.5,67719.01,332,17299.11,1012881.59,7,13668,0.61,FO,A+,购物中心,180,T1,84,10
0.63,0.41,0.55,77,14.1,83487.3,335,40405.1,1012881.59,11,21332,0.6,FO,A+,购物中心,180,T1,84,10
0.64,0.44,0.63,77,14.2,129795.84,324,9847.35,1012881.59,6,16719,0.58,FO,A+,购物中心,180,T1,84,10
0.61,0.44,0.32,77,20.8,137478.53,311,10946.14,1012881.59,6,14238,0.58,FO,A+,购物中心,180,T1,84,10
0.64,0.18,0.11,80,3.3,113884.48,317,15938.49,1012881.59,12,13915,0.65,FO,A+,购物中心,180,T1,84,10
0.64,0.46,0.02,80,12.2,167104.31,283,13618.65,1012881.59,7,24597,0.61,FO,A+,购物中心,180,T1,84,10
0.66,0.3,0,80,5.5,107881.12,269,17165.81,1012881.59,12,14979,0.63,FO,A+,购物中心,180,T1,84,10
0.62,0.33,0,79,8.2,87502.54,251,2836.95,1012881.59,7,7915,0.59,FO,A+,购物中心,180,T1,84,10
0.64,0.39,-0.07,79,10.1,92440.94,251,0,1012881.59,6,13793,0.61,FO,A+,购物中心,180,T1,84,10
0.57,0.22,0.17,79,7.1,105968.01,257,48637.43,1012881.59,4,11542,0.51,FO,A+,购物中心,180,T1,84,10
0.5,0.25,-0.22,86,10,93727.52,238,9222.35,1012881.59,11,9316,0.45,FO,A+,购物中心,180,T1,84,10
0.57,0.3,-0.28,86,7.3,138702.24,259,4139.7,1012881.59,10,8139,0.52,FO,A+,购物中心,180,T1,84,10
0.54,0.35,0.17,86,42.2,79400.56,264,24036.34,1012881.59,17,5878,0.49,FO,A+,购物中心,180,T1,84,10
0.65,0.11,-0.11,94,4.4,74258.29,301,21060.13,1012881.59,5,11232,0.57,FO,A+,购物中心,180,T1,84,10
0.53,0.31,-0.19,94,13,105508.78,258,7229.54,1012881.59,14,7990,0.5,FO,A+,购物中心,180,T1,84,10
0.56,0.23,-0.5,95,7.5,69285.44,267,7097.46,1012881.59,11,14673,0.54,FO,A+,购物中心,180,T1,84,10
0.57,0.29,-0.21,85,10,90575.57,284,10616.81,1012881.59,15,19074,0.57,FO,A+,购物中心,180,T1,84,10
0.6,0.37,-0.35,85,9.7,109011.08,269,6126.76,1012881.59,12,8298,0.61,FO,A+,购物中心,180,T1,84,10
0.41,0.14,0.12,100,12.8,120878.97,206,11467.09,1012881.59,9,8047,0.39,FO,A+,购物中心,180,T1,84,10
0.7,0.47,0.82,80,8.4,75946.15,262,4286.16,492260.41,0,0,0.66,FO,C,购物中心,111,T1,93,5
0.69,0.45,0.62,80,11.3,67372.31,247,7149.05,492260.41,0,0,0.65,FO,C,购物中心,111,T1,93,5
0.68,0.41,0.92,80,6.6,80099.15,238,2200,492260.41,0,0,0.64,FO,C,购物中心,111,T1,93,5
0.69,0.43,1.06,80,8.1,85734.53,249,8530.45,492260.41,2,12255,0.65,FO,C,购物中心,111,T1,93,5
0.68,0.43,0.37,80,11,57258.8,293,6127.19,492260.41,6,5255,0.65,FO,C,购物中心,111,T1,93,5
