学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1102,电路原理,2,97,,66,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2012-2013-2)-10402012-05080001-2,2012-2013
1102,离散数学,4,100,,77,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2012-2013-2)-10404008-07010013-1,2012-2013
1102,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1102,高等数学(2),5,95,,80,NA,86,,86,NA,,NA,3.6,专业必修课,,0,(2012-2013-2)-10405004-05010045-1,2012-2013
1102,思想道德修养与法律基础,2,95,,82,NA,87,,87,NA,,NA,3.7,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
1102,Excel在经济管理中的应用,2,,,0,NA,,缺考,NA,NA,,NA,NA,公共任选课,科学与技术,0,(2013-2014-1)-10000026-10030081-2,2013-2014
1102,从零开始学法语（下）,2,98,98,98,NA,98,,98,NA,,NA,NA,公共任选课,历史与文学,0,(2013-2014-1)-10000030-04010016-1,2013-2014
1102,学校文化建设,2,0,,0,NA,0,缺考,0,NA,,NA,NA,公共任选课,艺术,0,(2013-2014-1)-10000037-01010012-1,2013-2014
1102,面向对象程序设计(C++),3,100,,67,NA,80,,80,NA,,NA,3,专业限选课,,0,(2013-2014-1)-10403017-05010002-1,2013-2014
1102,毛泽东思想和中国特色社会主义理论体系概论,4,92,,72,NA,80,,80,NA,,NA,3,公共必修课,,0,(2013-2014-1)-10904098-06010003-1,2013-2014
1102,模拟电子技术,3,96,,63,NA,80,,80,NA,,NA,3,专业限选课,,0,(2013-2014-1)-10403018-05010071-2,2013-2014
1102,大学英语（五）,4,96,,66,NA,81,,81,NA,,NA,3.1,公共必修课,,0,(2013-2014-1)-10304113-02010018-1,2013-2014
1102,体育舞蹈,2,84,,82,NA,83,,83,NA,,NA,3.3,公共必修课,,0,(2013-2014-1)-08-08010025-1,2013-2014
1102,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2013-2014-1)-30900584-08080001-5,2013-2014
1102,电子电工实习,1,,,,85,85,,85,NA,,NA,3.5,实践课,,0,(2013-2014-1)-10401005-05010021-1,2013-2014
1102,大学物理实验,1,,,,85,85,,85,NA,,NA,3.5,实践课,,0,(2013-2014-1)-10401003-05010027-2,2013-2014
1102,物联网概论,2,85,,87,NA,86,,86,NA,,NA,3.6,公共必修课,,0,(2013-2014-1)-10402047-05010053-1,2013-2014
1102,大学物理(2),2,80,,90,NA,87,,87,NA,,NA,3.7,专业限选课,,0,(2013-2014-1)-10402002-05010027-2,2013-2014
1102,面向对象程序设计课程设计,1.5,,,,87,87,,87,NA,,NA,3.7,实践课,,0,(2013-2014-1)-10401512-05010002-2,2013-2014
1102,概率论与数理统计,3,96,,85,NA,89,,89,NA,,NA,3.9,专业限选课,,0,(2013-2014-1)-10403009-07010001-2,2013-2014
1102,中国近代史纲要,2,88,,48,NA,64,,64,NA,,NA,1.4,公共必修课,,0,(2013-2014-2)-10902098-03010013-2,2013-2014
1102,大学英语（四）,4,91,,50,NA,71,,71,NA,,NA,2.1,公共必修课,,0,(2013-2014-2)-10304104-02010018-2,2013-2014
1102,Linux程序设计,4,85,,72,NA,77,,77,NA,,NA,2.7,专业必修课,,0,(2013-2014-2)-10404012-05010015-1,2013-2014
1102,体育舞蹈,2,81.8,,80,NA,80.9,,80.9,NA,,NA,3.09,公共必修课,,0,(2013-2014-2)-08-08010025-3,2013-2014
1102,计算机网络基础,4,95,,78,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2013-2014-2)-10404056-05010009-1,2013-2014
1102,数学实验,1,91,,85,NA,88,,88,NA,,NA,3.8,专业任选课,,0,(2013-2014-2)-10401002-07010030-2,2013-2014
1102,数字逻辑,3,97.5,,89,NA,92,,92,NA,,NA,4.2,专业必修课,,0,(2013-2014-2)-10403019-05010021-1,2013-2014
1102,MySQL数据库,3,100,,97,NA,98,,98,NA,,NA,4.8,专业必修课,,0,(2013-2014-2)-10403062-05010028-1,2013-2014
1102,单片机技术,3,83,,71,NA,77,,77,NA,,NA,2.7,专业必修课,,0,(2014-2015-1)-10403016-05080001-3,2014-2015
1102,动态网站开发网页设计项目,2,,,,78,78,,78,NA,,NA,2.8,实践课,,0,(2014-2015-1)-10411112-05010057-1,2014-2015
1102,网页程序设计,3,80,,80,NA,80,,80,NA,,NA,3,专业必修课,,0,(2014-2015-1)-10403013-05030004-1,2014-2015
1102,音视频处理,2,90,,85,NA,87,,87,NA,,NA,3.7,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1102,图像处理技术,2,90,,86,NA,88,,88,NA,,NA,3.8,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1102,动态网站开发,4.5,92,,90,NA,91,,91,NA,,NA,4.1,专业必修课,,0,(2014-2015-1)-10404519-05010057-1,2014-2015
1102,统一建模语言,2,100,,90,NA,94,,94,NA,,NA,4.4,专业必修课,,0,(2014-2015-1)-10402066-05010014-1,2014-2015
1102,.NET程序设计,3.5,92.5,,80,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-2)-10403599-05010043-1,2014-2015
1102,无线传感器网络,2.5,92,,88,NA,90,,90,NA,,NA,4,专业必修课,,0,(2014-2015-2)-10403020-05080001-2,2014-2015
1102,测试工具,3,96,,88,NA,92,,92,NA,,NA,4.2,专业必修课,,0,(2014-2015-2)-10403095-05010020-1,2014-2015
1102,动画制作技术,2,97.5,,88,NA,92,,92,NA,,NA,4.2,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1102,岗前培训,3,,,70,NA,70,,70,NA,,NA,2,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1102,毕业设计,6,,,73.2,NA,73,,73,NA,,NA,2.3,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1102,职业方向培训,5,,,75,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1104,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48699,2012-2013
1104,大学英语,4,,,,NA,66.9,,66.9,NA,,NA,1.69,公共课,,NA,(2012-2013-1)-04132060-48700,2012-2013
1104,体育,1,,,,NA,75,,75,NA,,NA,2.5,专业基础课,,NA,(2012-2013-1)-08011003-48705,2012-2013
1104,线性代数,3,,,,NA,75.3,,75.3,NA,,NA,2.53,专业基础课,,NA,(2012-2013-1)-07132103-48704,2012-2013
1104,程序设计基础(C语言),4,,,,NA,78.6,,78.6,NA,,NA,2.86,专业必修课,,NA,(2012-2013-1)-05011049-48701,2012-2013
1104,马克思主义基本原理,2,,,,NA,82.4,,82.4,NA,,NA,3.24,公共基础课,,NA,(2012-2013-1)-03011001-48698,2012-2013
1104,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48702,2012-2013
1104,高等数学,5,,,,NA,86.1,,86.1,NA,,NA,3.61,专业基础课,,NA,(2012-2013-1)-07132016-48703,2012-2013
1104,心理健康教育,2,,,,NA,92,,92,NA,,NA,4.2,公共课,,NA,(2012-2013-1)-10332063-48706,2012-2013
1104,公共体育,1,,,82,NA,82,,82,NA,,NA,3.2,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08010025-7,2012-2013
1104,通信技术与现代生活,2,,,80,NA,80,,80,NA,,NA,NA,公共任选课,跨文化选修,0,(2012-2013-2)-05021014-05080007-1,2012-2013
1104,程序设计基础项目,1.5,,,80,NA,80,,80,NA,,NA,3,实践课,,0,(2012-2013-2)-10401510-05010053-1,2012-2013
1104,大学英语(2),4,95,92.5,65.5,NA,80,,80,NA,,NA,3,公共必修课,,0,(2012-2013-2)-10304008-02010018-2,2012-2013
1104,新技术讲座(2),0.5,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2012-2013-2)-10400505-05010031-2,2012-2013
1104,大学物理(1),4,90,,57,NA,67,,67,NA,,NA,1.7,专业必修课,,0,(2012-2013-2)-10404005-05010027-3,2012-2013
1104,电路原理,2,97,,58,NA,70,,70,NA,,NA,2,专业必修课,,0,(2012-2013-2)-10402012-05080001-2,2012-2013
1104,数据结构,4,92,,70,NA,79,,79,NA,,NA,2.9,专业必修课,,0,(2012-2013-2)-10404010-05010037-2,2012-2013
1104,高等数学(2),5,92.5,,74,NA,81,,81,NA,,NA,3.1,专业必修课,,0,(2012-2013-2)-10405004-05010045-1,2012-2013
1104,离散数学,4,100,,74,NA,82,,82,NA,,NA,3.2,专业必修课,,0,(2012-2013-2)-10404008-07010013-1,2012-2013
1104,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1104,思想道德修养与法律基础,2,95,,85,NA,89,,89,NA,,NA,3.9,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
1104,办公自动化,2,82,0,85,0,84,,84,NA,,NA,NA,公共任选课,,0,(2012-2013-2)-05132013-10030209-1,2012-2013
1104,中外文学名著导读,2,85,,62,NA,67,,67,NA,,NA,NA,公共任选课,历史与文学,0,(2013-2014-1)-10000036-03010012-1,2013-2014
1104,从零开始学法语（下）,2,85,85,85,NA,85,,85,NA,,NA,NA,公共任选课,历史与文学,0,(2013-2014-1)-10000030-04010016-1,2013-2014
1104,大学物理实验,1,,,,63,63,,63,NA,,NA,1.3,实践课,,0,(2013-2014-1)-10401003-05010027-2,2013-2014
1104,面向对象程序设计课程设计,1.5,,,,74,74,,74,NA,,NA,2.4,实践课,,0,(2013-2014-1)-10401512-05010002-2,2013-2014
1104,毛泽东思想和中国特色社会主义理论体系概论,4,87,,71,NA,77,,77,NA,,NA,2.7,公共必修课,,0,(2013-2014-1)-10904098-06010003-1,2013-2014
1104,概率论与数理统计,3,94,,66,NA,77,,77,NA,,NA,2.7,专业限选课,,0,(2013-2014-1)-10403009-07010001-2,2013-2014
1104,大学英语（五）,4,88,,68,NA,78,,78,NA,,NA,2.8,公共必修课,,0,(2013-2014-1)-10304113-02010018-1,2013-2014
1104,模拟电子技术,3,92,,65,NA,79,,79,NA,,NA,2.9,专业限选课,,0,(2013-2014-1)-10403018-05010071-2,2013-2014
1104,面向对象程序设计(C++),3,100,,68,NA,81,,81,NA,,NA,3.1,专业限选课,,0,(2013-2014-1)-10403017-05010002-1,2013-2014
1104,田径,2,88,0,80,0,82,,82,NA,,NA,3.2,公共必修课,,0,(2013-2014-1)-09-08010029-6,2013-2014
1104,大学物理(2),2,68,,88,NA,82,,82,NA,,NA,3.2,专业限选课,,0,(2013-2014-1)-10402002-05010027-2,2013-2014
1104,电子电工实习,1,,,,83,83,,83,NA,,NA,3.3,实践课,,0,(2013-2014-1)-10401005-05010021-1,2013-2014
1104,物联网概论,2,85,,82,NA,83,,83,NA,,NA,3.3,公共必修课,,0,(2013-2014-1)-10402047-05010053-1,2013-2014
1104,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2013-2014-1)-30900584-08080001-5,2013-2014
1104,计算机网络基础,4,95,,44,NA,64,,64,NA,,NA,1.4,专业必修课,,0,(2013-2014-2)-10404056-05010009-1,2013-2014
1104,中国近代史纲要,2,88,,54,NA,68,,68,NA,,NA,1.8,公共必修课,,0,(2013-2014-2)-10902098-03010013-2,2013-2014
1104,大学英语（四）,4,88,,53,NA,71,,71,NA,,NA,2.1,公共必修课,,0,(2013-2014-2)-10304104-02010018-2,2013-2014
1104,田径,2,62,,84,NA,73,,73,NA,,NA,2.3,公共必修课,,0,(2013-2014-2)-09-08010029-2,2013-2014
1104,Linux程序设计,4,91,,64,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2013-2014-2)-10404012-05010015-1,2013-2014
1104,数学实验,1,91,,87,NA,89,,89,NA,,NA,3.9,专业任选课,,0,(2013-2014-2)-10401002-07010030-2,2013-2014
1104,数字逻辑,3,92.5,,90,NA,91,,91,NA,,NA,4.1,专业必修课,,0,(2013-2014-2)-10403019-05010021-1,2013-2014
1104,MySQL数据库,3,93,,98,NA,97,,97,NA,,NA,4.7,专业必修课,,0,(2013-2014-2)-10403062-05010028-1,2013-2014
1104,统一建模语言,2,90,,60,NA,72,,72,NA,,NA,2.2,专业必修课,,0,(2014-2015-1)-10402066-05010014-1,2014-2015
1104,动态网站开发网页设计项目,2,,,,72,72,,72,NA,,NA,2.2,实践课,,0,(2014-2015-1)-10411112-05010057-1,2014-2015
1104,单片机技术,3,71,,81,NA,76,,76,NA,,NA,2.6,专业必修课,,0,(2014-2015-1)-10403016-05080001-3,2014-2015
1104,动态网站开发,4.5,85,,72,NA,77,,77,NA,,NA,2.7,专业必修课,,0,(2014-2015-1)-10404519-05010057-1,2014-2015
1104,图像处理技术,2,85,,83,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1104,网页程序设计,3,100,,70,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-1)-10403013-05030004-1,2014-2015
1104,音视频处理,2,85,,86,NA,86,,86,NA,,NA,3.6,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1104,.NET程序设计,3.5,92.5,,80,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-2)-10403599-05010043-1,2014-2015
1104,无线传感器网络,2.5,95,,85,NA,89,,89,NA,,NA,3.9,专业必修课,,0,(2014-2015-2)-10403020-05080001-2,2014-2015
1104,测试工具,3,96,,88,NA,92,,92,NA,,NA,4.2,专业必修课,,0,(2014-2015-2)-10403095-05010020-1,2014-2015
1104,动画制作技术,2,97.5,,88,NA,92,,92,NA,,NA,4.2,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1104,岗前培训,3,,,75,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1104,职业方向培训,5,,,75,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1104,毕业设计,6,,,76.5,NA,77,,77,NA,,NA,2.7,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1106,线性代数,3,,,,NA,51.3,,51.3,66,,NA,1,专业基础课,,NA,(2012-2013-1)-07132103-48723,2012-2013
1106,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48718,2012-2013
1106,大学英语,4,,,,NA,66.2,,66.2,NA,,NA,1.62,公共课,,NA,(2012-2013-1)-04132060-48719,2012-2013
1106,马克思主义基本原理,2,,,,NA,70,,70,NA,,NA,2,公共基础课,,NA,(2012-2013-1)-03011001-48717,2012-2013
1106,程序设计基础(C语言),4,,,,NA,71.6,,71.6,NA,,NA,2.16,专业必修课,,NA,(2012-2013-1)-05011049-48720,2012-2013
1106,高等数学,5,,,,NA,73.5,,73.5,NA,,NA,2.35,专业基础课,,NA,(2012-2013-1)-07132016-48722,2012-2013
1106,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48721,2012-2013
1106,体育,1,,,,NA,85,,85,NA,,NA,3.5,专业基础课,,NA,(2012-2013-1)-08011003-48725,2012-2013
1106,心理健康教育,2,,,,NA,86.4,,86.4,NA,,NA,3.64,公共课,,NA,(2012-2013-1)-10332063-48727,2012-2013
1106,公共体育,1,,,85,NA,85,,85,NA,,NA,3.5,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08010027-7,2012-2013
1106,程序设计基础项目,1.5,,,76,NA,76,,76,NA,,NA,2.6,实践课,,0,(2012-2013-2)-10401510-05010053-1,2012-2013
1106,大学英语(2),4,97,90,59,NA,77,,77,NA,,NA,2.7,公共必修课,,0,(2012-2013-2)-10304008-02010018-2,2012-2013
1106,新技术讲座(2),0.5,,,84,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2012-2013-2)-10400505-05010031-2,2012-2013
1106,高等数学(2),5,77.5,,58,NA,66,,66,NA,,NA,1.6,专业必修课,,0,(2012-2013-2)-10405004-05010045-1,2012-2013
1106,电路原理,2,97,,55,NA,68,,68,NA,,NA,1.8,专业必修课,,0,(2012-2013-2)-10402012-05080001-2,2012-2013
1106,大学物理(1),4,80,,63,NA,68,,68,NA,,NA,1.8,专业必修课,,0,(2012-2013-2)-10404005-05010027-3,2012-2013
1106,数据结构,4,89,,67.5,NA,76,,76,NA,,NA,2.6,专业必修课,,0,(2012-2013-2)-10404010-05010037-2,2012-2013
1106,离散数学,4,96,,69,NA,77,,77,NA,,NA,2.7,专业必修课,,0,(2012-2013-2)-10404008-07010013-1,2012-2013
1106,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1106,思想道德修养与法律基础,2,95,,85,NA,89,,89,NA,,NA,3.9,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
1106,Excel在经济管理中的应用,2,,,0,NA,,缺考,NA,NA,,NA,NA,公共任选课,科学与技术,0,(2013-2014-1)-10000026-10030081-2,2013-2014
1106,大学物理实验,1,,,,64,64,,64,NA,,NA,1.4,实践课,,0,(2013-2014-1)-10401003-05010027-2,2013-2014
1106,大学英语（五）,4,92,,45,NA,69,,69,NA,,NA,1.9,公共必修课,,0,(2013-2014-1)-10304113-02010018-1,2013-2014
1106,大学物理(2),2,69,,74,NA,73,,73,NA,,NA,2.3,专业限选课,,0,(2013-2014-1)-10402002-05010027-2,2013-2014
1106,模拟电子技术,3,96,,52,NA,74,,74,NA,,NA,2.4,专业限选课,,0,(2013-2014-1)-10403018-05010071-2,2013-2014
1106,面向对象程序设计(C++),3,100,,60,NA,76,,76,NA,,NA,2.6,专业限选课,,0,(2013-2014-1)-10403017-05010002-1,2013-2014
1106,电子电工实习,1,,,,78,78,,78,NA,,NA,2.8,实践课,,0,(2013-2014-1)-10401005-05010021-1,2013-2014
1106,毛泽东思想和中国特色社会主义理论体系概论,4,89,,74,NA,80,,80,NA,,NA,3,公共必修课,,0,(2013-2014-1)-10904098-06010003-1,2013-2014
1106,概率论与数理统计,3,93,,75,NA,82,,82,NA,,NA,3.2,专业限选课,,0,(2013-2014-1)-10403009-07010001-2,2013-2014
1106,田径,2,92,0,82,0,84,,84,NA,,NA,3.4,公共必修课,,0,(2013-2014-1)-09-08010029-6,2013-2014
1106,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2013-2014-1)-30900584-08080001-5,2013-2014
1106,面向对象程序设计课程设计,1.5,,,,88,88,,88,NA,,NA,3.8,实践课,,0,(2013-2014-1)-10401512-05010002-2,2013-2014
1106,物联网概论,2,85,,90,NA,88,,88,NA,,NA,3.8,公共必修课,,0,(2013-2014-1)-10402047-05010053-1,2013-2014
1106,古典音乐欣赏,2,78,,91,NA,88,,88,NA,,NA,NA,公共任选课,艺术,0,(2013-2014-2)-01132156-10030163-1,2013-2014
1106,大学英语（四）,4,84,,46,NA,65,,65,NA,,NA,1.5,公共必修课,,0,(2013-2014-2)-10304104-02010018-2,2013-2014
1106,Linux程序设计,4,72,,64,NA,67,,67,NA,,NA,1.7,专业必修课,,0,(2013-2014-2)-10404012-05010015-1,2013-2014
1106,计算机网络基础,4,95,,53,NA,70,,70,NA,,NA,2,专业必修课,,0,(2013-2014-2)-10404056-05010009-1,2013-2014
1106,中国近代史纲要,2,90,,68,NA,77,,77,NA,,NA,2.7,公共必修课,,0,(2013-2014-2)-10902098-03010013-2,2013-2014
1106,田径,2,78,,88,NA,83,,83,NA,,NA,3.3,公共必修课,,0,(2013-2014-2)-09-08010029-2,2013-2014
1106,数字逻辑,3,95,,81,NA,87,,87,NA,,NA,3.7,专业必修课,,0,(2013-2014-2)-10403019-05010021-1,2013-2014
1106,数学实验,1,91,,85,NA,88,,88,NA,,NA,3.8,专业任选课,,0,(2013-2014-2)-10401002-07010030-2,2013-2014
1106,MySQL数据库,3,93,,97,NA,96,,96,NA,,NA,4.6,专业必修课,,0,(2013-2014-2)-10403062-05010028-1,2013-2014
1106,网页程序设计,3,80,,60,NA,70,,70,NA,,NA,2,专业必修课,,0,(2014-2015-1)-10403013-05030004-1,2014-2015
1106,动态网站开发,4.5,88,,64,NA,74,,74,NA,,NA,2.4,专业必修课,,0,(2014-2015-1)-10404519-05010057-1,2014-2015
1106,动态网站开发网页设计项目,2,,,,75,75,,75,NA,,NA,2.5,实践课,,0,(2014-2015-1)-10411112-05010057-1,2014-2015
1106,单片机技术,3,83,,82,NA,83,,83,NA,,NA,3.3,专业必修课,,0,(2014-2015-1)-10403016-05080001-3,2014-2015
1106,音视频处理,2,75,,91,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1106,统一建模语言,2,100,,80,NA,88,,88,NA,,NA,3.8,专业必修课,,0,(2014-2015-1)-10402066-05010014-1,2014-2015
1106,图像处理技术,2,92,,88,NA,90,,90,NA,,NA,4,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1106,.NET程序设计,3.5,90,,80,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-2)-10403599-05010043-1,2014-2015
1106,测试工具,3,86,,86.5,NA,86,,86,NA,,NA,3.6,专业必修课,,0,(2014-2015-2)-10403095-05010020-1,2014-2015
1106,无线传感器网络,2.5,90,,88,NA,89,,89,NA,,NA,3.9,专业必修课,,0,(2014-2015-2)-10403020-05080001-2,2014-2015
1106,动画制作技术,2,95,,95,NA,95,,95,NA,,NA,4.5,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1106,职业方向培训,5,,,75,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1106,毕业设计,6,,,80.9,NA,81,,81,NA,,NA,3.1,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1106,岗前培训,3,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1110,线性代数,3,,,,NA,63.8,,63.8,NA,,NA,1.38,专业基础课,,NA,(2012-2013-1)-07132103-48755,2012-2013
1110,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48750,2012-2013
1110,高等数学,5,,,,NA,66.1,,66.1,NA,,NA,1.61,专业基础课,,NA,(2012-2013-1)-07132016-48754,2012-2013
1110,程序设计基础(C语言),4,,,,NA,70.2,,70.2,NA,,NA,2.02,专业必修课,,NA,(2012-2013-1)-05011049-48752,2012-2013
1110,马克思主义基本原理,2,,,,NA,73.8,,73.8,NA,,NA,2.38,公共基础课,,NA,(2012-2013-1)-03011001-48749,2012-2013
1110,计算机导论,2,,,,NA,75,,75,NA,,NA,2.5,公共必修课,,NA,(2012-2013-1)-05132035-48753,2012-2013
1110,大学英语,4,,,,NA,76,,76,NA,,NA,2.6,公共课,,NA,(2012-2013-1)-04132060-48751,2012-2013
1110,体育,1,,,,NA,85,,85,NA,,NA,3.5,专业基础课,,NA,(2012-2013-1)-08011003-48756,2012-2013
1110,心理健康教育,2,,,,NA,90,,90,NA,,NA,4,公共课,,NA,(2012-2013-1)-10332063-48757,2012-2013
1110,公共体育,1,,,91,NA,91,,91,NA,,NA,4.1,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08010029-5,2012-2013
1110,通信技术与现代生活,2,,,82,NA,82,,82,NA,,NA,NA,公共任选课,跨文化选修,0,(2012-2013-2)-05021014-05080007-1,2012-2013
1110,程序设计基础项目,1.5,,,83,NA,83,,83,NA,,NA,3.3,实践课,,0,(2012-2013-2)-10401510-05010053-1,2012-2013
1110,大学英语(2),4,97,95,71,NA,84,,84,NA,,NA,3.4,公共必修课,,0,(2012-2013-2)-10304008-02010018-2,2012-2013
1110,新技术讲座(2),0.5,,,86,NA,86,,86,NA,,NA,3.6,专业必修课,,0,(2012-2013-2)-10400505-05010031-2,2012-2013
1110,电路原理,2,97,,44,NA,60,,60,NA,,NA,1,专业必修课,,0,(2012-2013-2)-10402012-05080001-2,2012-2013
1110,大学物理(1),4,90,,47,NA,60,,60,NA,,NA,1,专业必修课,,0,(2012-2013-2)-10404005-05010027-3,2012-2013
1110,高等数学(2),5,72.5,,57,NA,63,,63,NA,,NA,1.3,专业必修课,,0,(2012-2013-2)-10405004-05010045-1,2012-2013
1110,数据结构,4,93,,63,NA,75,,75,NA,,NA,2.5,专业必修课,,0,(2012-2013-2)-10404010-05010037-2,2012-2013
1110,离散数学,4,100,,65,NA,76,,76,NA,,NA,2.6,专业必修课,,0,(2012-2013-2)-10404008-07010013-1,2012-2013
1110,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1110,思想道德修养与法律基础,2,95,,83,NA,88,,88,NA,,NA,3.8,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
