学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1102,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48680,2012-2013
1102,程序设计基础(C语言),4,,,,NA,67,,67,NA,,NA,1.7,专业必修课,,NA,(2012-2013-1)-05011049-48682,2012-2013
1102,线性代数,3,,,,NA,73.2,,73.2,NA,,NA,2.32,专业基础课,,NA,(2012-2013-1)-07132103-48685,2012-2013
1102,大学英语,4,,,,NA,78.6,,78.6,NA,,NA,2.86,公共课,,NA,(2012-2013-1)-04132060-48681,2012-2013
1102,马克思主义基本原理,2,,,,NA,79.4,,79.4,NA,,NA,2.94,公共基础课,,NA,(2012-2013-1)-03011001-48679,2012-2013
1102,高等数学,5,,,,NA,83.3,,83.3,NA,,NA,3.33,专业基础课,,NA,(2012-2013-1)-07132016-48684,2012-2013
1102,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48683,2012-2013
1102,心理健康教育,2,,,,NA,93.4,,93.4,NA,,NA,4.34,公共课,,NA,(2012-2013-1)-10332063-48688,2012-2013
1102,体育,1,,,,NA,95,,95,NA,,NA,4.5,专业基础课,,NA,(2012-2013-1)-08011003-48686,2012-2013
1102,公共体育,1,,,82.2,NA,82,,82,NA,,NA,3.2,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08080002-4,2012-2013
1102,法经济学,2,66,,63,NA,64,,64,NA,,NA,NA,公共任选课,跨文化选修,0,(2012-2013-2)-03041015-05010016-1,2012-2013
1102,程序设计基础项目,1.5,,,79,NA,79,,79,NA,,NA,2.9,实践课,,0,(2012-2013-2)-10401510-05010053-1,2012-2013
1102,大学英语(2),4,98,85,75.5,NA,84,,84,NA,,NA,3.4,公共必修课,,0,(2012-2013-2)-10304008-02010018-2,2012-2013
1102,新技术讲座(2),0.5,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2012-2013-2)-10400505-05010031-2,2012-2013
1102,大学物理(1),4,80,,66,NA,70,,70,NA,,NA,2,专业必修课,,0,(2012-2013-2)-10404005-05010027-3,2012-2013
1102,数据结构,4,87,,66,NA,74,,74,NA,,NA,2.4,专业必修课,,0,(2012-2013-2)-10404010-05010037-2,2012-2013
