学号,课程名称,学分,平时成绩,期中成绩,期末成绩,实验成绩,总评成绩,备注,折算成绩,补考成绩,补考成绩备注,重修成绩,绩点,课程性质,课程归属,重修标记,选课课号,学年
1101,短距离无线通信技术,2.5,83,,82,NA,82,,82,NA,,NA,3.2,专业必修课,,0,(2014-2015-1)-10402596-05010005-1,2014-2015
1101,图像处理技术,2,85,,82,NA,83,,83,NA,,NA,3.3,专业必修课,,0,(2014-2015-1)-10400503-05010044-1,2014-2015
1101,传感器技术与应用,2.5,83,,85,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-1)-10402599-20131202-1,2014-2015
1101,音视频处理,2,87.5,,81,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-1)-10402072-05010043-1,2014-2015
1101,嵌入式程序设计,4.5,85,,82,NA,84,,84,NA,,NA,3.4,专业必修课,,0,(2014-2015-1)-10402597-05080001-1,2014-2015
1101,数据获取与处理嵌入式程序开发,2,,,85,NA,85,,85,NA,,NA,3.5,实践课,,0,(2014-2015-1)-10411113-05080001-1,2014-2015
1101,RFID技术与应用,2.5,88,,88,NA,88,,88,NA,,NA,3.8,专业必修课,,0,(2014-2015-1)-10402598-05010005-1,2014-2015
1101,可视化程序设计(QT),3.5,88,83,84,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2014-2015-2)-10403502-05010052-1,2014-2015
1101,可视化程序设计,1.5,,,87,NA,87,,87,NA,,NA,3.7,实践课,,0,(2014-2015-2)-10401524-05080001-1,2014-2015
1101,动画制作技术,2,90,,85,NA,87,,87,NA,,NA,3.7,专业任选课,,0,(2014-2015-2)-10400501-05010044-2,2014-2015
1101,物联网通信与组网技术,3,90,,88,NA,89,,89,NA,,NA,3.9,专业必修课,,0,(2014-2015-2)-10403097-05080001-1,2014-2015
1101,无线传感器网络,2.5,90,,95,NA,93,,93,NA,,NA,4.3,专业必修课,,0,(2014-2015-2)-10403020-05080001-1,2014-2015
1101,岗前培训,3,,,85,NA,85,,85,NA,,NA,3.5,专业必修课,,0,(2015-2016-1)-10403085-05010017-1,2015-2016
1101,职业方向培训,5,,,90,NA,90,,90,NA,,NA,4,专业必修课,,0,(2015-2016-1)-10404092-20140705-1,2015-2016
1101,毕业设计,6,,,90.6,NA,91,,91,NA,,NA,4.1,实践课,,0,(2015-2016-1)-10021007-05080001-1,2015-2016
1103,形势与政策,0.5,,,,NA,65,,65,NA,,NA,1.5,公共必修课,,NA,(2012-2013-1)-03132092-48690,2012-2013
1103,线性代数,3,,,,NA,72.9,,72.9,NA,,NA,2.29,专业基础课,,NA,(2012-2013-1)-07132103-48695,2012-2013
1103,高等数学,5,,,,NA,75.2,,75.2,NA,,NA,2.52,专业基础课,,NA,(2012-2013-1)-07132016-48694,2012-2013
1103,大学英语,4,,,,NA,76.9,,76.9,NA,,NA,2.69,公共课,,NA,(2012-2013-1)-04132060-48691,2012-2013
1103,马克思主义基本原理,2,,,,NA,78.4,,78.4,NA,,NA,2.84,公共基础课,,NA,(2012-2013-1)-03011001-48689,2012-2013
1103,程序设计基础(C语言),4,,,,NA,82,,82,NA,,NA,3.2,专业必修课,,NA,(2012-2013-1)-05011049-48692,2012-2013
1103,计算机导论,2,,,,NA,85,,85,NA,,NA,3.5,公共必修课,,NA,(2012-2013-1)-05132035-48693,2012-2013
1103,体育,1,,,,NA,85,,85,NA,,NA,3.5,专业基础课,,NA,(2012-2013-1)-08011003-48696,2012-2013
1103,心理健康教育,2,,,,NA,85,,85,NA,,NA,3.5,公共课,,NA,(2012-2013-1)-10332063-48697,2012-2013
1103,公共体育,1,,,71,NA,71,,71,NA,,NA,2.1,公共基础课,公共体育必修,0,(2012-2013-2)-08132037-08080002-4,2012-2013
1103,法经济学,2,66,,63,NA,64,,64,NA,,NA,NA,公共任选课,跨文化选修,0,(2012-2013-2)-03041015-05010016-1,2012-2013
1103,大学英语(2),4,85,85,48,NA,67,,67,NA,,NA,1.7,公共必修课,,0,(2012-2013-2)-10304008-04010016-3,2012-2013
1103,程序设计基础项目,1.5,,,,78,78,,78,NA,,NA,2.8,实践课,,0,(2012-2013-2)-10401510-05010034-1,2012-2013
1103,新技术讲座(2),0.5,,,82,NA,82,,82,NA,,NA,3.2,专业必修课,,0,(2012-2013-2)-10400505-05010031-3,2012-2013
1103,大学物理(1),4,85,,61,NA,68,,68,NA,,NA,1.8,专业必修课,,0,(2012-2013-2)-10404005-05010027-1,2012-2013
1103,数据结构,4,86,,57.5,NA,69,,69,NA,,NA,1.9,专业必修课,,0,(2012-2013-2)-10404010-05010037-1,2012-2013
1103,电路原理,2,93,,71,NA,78,,78,NA,,NA,2.8,专业必修课,,0,(2012-2013-2)-10402012-05080001-1,2012-2013
1103,高等数学(2),5,87.5,,72,NA,78,,78,NA,,NA,2.8,专业必修课,,0,(2012-2013-2)-10405004-05010045-2,2012-2013
1103,形势与政策,0.5,,,85,NA,85,,85,NA,,NA,3.5,公共必修课,,0,(2012-2013-2)-30900501-03010003-12,2012-2013
1103,思想道德修养与法律基础,2,95,,81,NA,87,,87,NA,,NA,3.7,公共必修课,,0,(2012-2013-2)-10902005-03010009-1,2012-2013
